Country or area,Urban Agglomeration,Latitude,Longitude,Population (in thousands),Country Code,proportion dirty fuel,estimated population burning dirty fuels,proportion electricity access,proportion below $1 per day,estimated addressable population
Bangladesh,Chittagong,22.3331,91.8364,5020,BGD,0.41700000000000004,2093340.0,0.9780000305000001,0.0018262631037759,2043548
Cameroon,Douala,4.0483,9.7043,3663,CMR,0.601,2201463.0,0.9402661133,0.0482372648765619,1970112
Nigeria,Ibadan,7.3878,3.8964,3552,NGA,0.6679999999999999,2372736.0,0.8390000153,0.0351163685711153,1920818
Ghana,Kumasi,6.6885,-1.6244,3348,GHA,0.645,2159460.0,0.9471047974,0.0677460757717531,1906678
Haiti,Port-au-Prince,18.5392,-72.335,2774,HTI,0.898,2491052.0,0.8054474639999999,0.06051781764300021,1884988
Spain,Barcelona,41.3888,2.159,5586,ESP,0.324,1809864.0,1.0,0.0058107732501233,1799347
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,21782,MEX,0.08299999999999999,1807906.0,0.9980000305,0.0054642808223601,1794431
Nigeria,Abuja,9.0574,7.4898,3278,NGA,0.6679999999999999,2189704.0,0.8390000153,0.0351163685711153,1772647
Côte d'Ivoire,Abidjan,5.3453,-4.0268,5203,CIV,0.348,1810644.0,0.9447060394000001,0.0043369633511054,1703108
Pakistan,Lahore,31.5497,74.3436,12642,PAK,0.131,1656102.0,1.0,5.3788441201418994e-05,1656013
Nigeria,Port Harcourt,4.7774,7.0134,3020,NGA,0.6679999999999999,2017360.0,0.8390000153,0.0351163685711153,1633128
China,Chongqing,29.5628,106.5528,15872,CHN,0.10200000000000001,1618944.0,1.0,0.0,1618944
India,Mumbai (Bombay),19.074,72.8808,20411,IND,0.079,1612469.0,1.0,0.0023652678315167997,1608655
Guinea,Conakry,9.5716,-13.6476,1938,GIN,0.94,1821720.0,0.8808341217,0.0053869779712232,1595989
Senegal,Dakar,14.6937,-17.4441,3140,SEN,0.5315,1668910.0,0.9517642975,0.003972312397151,1582099
Ghana,Accra,5.556,-0.1969,2514,GHA,0.645,1621530.0,0.9471047974,0.0677460757717531,1431717
Viet Nam,Thành Pho Ho Chí Minh (Ho Chi Minh City),10.75,106.6667,8602,VNM,0.162,1393524.0,1.0,0.00043529444741465906,1392917
China,Tianjin,39.1088,117.1886,13589,CHN,0.10200000000000001,1386078.0,1.0,0.0,1386078
China,"Guangzhou, Guangdong",23.1255,113.2574,13302,CHN,0.10200000000000001,1356804.0,1.0,0.0,1356804
Madagascar,Antananarivo,-18.9137,47.5361,3369,MDG,0.9670000000000001,3257823.0,0.7016197205,0.43175709191748735,1298863
Togo,Lomé,6.1375,1.2123,1828,TGO,0.7730000000000001,1413044.0,0.9414375305,0.0360102459325512,1282388
China,Shenzhen,22.5415,114.0634,12357,CHN,0.10200000000000001,1260414.0,1.0,0.0,1260414
Zambia,Lusaka,-15.4134,28.2771,2774,ZMB,0.786,2180364.0,0.8238262177,0.3433091355889871,1179575
India,Kolkata (Calcutta),22.5335,88.356,14850,IND,0.079,1173150.0,1.0,0.0023652678315167997,1170375
Angola,Luanda,-8.8368,13.2343,8330,AGO,0.20700000000000002,1724310.0,0.7370891571,0.0880786613967893,1159025
Burkina Faso,Ouagadougou,12.3642,-1.5383,2780,BFA,0.627,1743060.0,0.6575390625,0.0219124802777808,1121015
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2282,SOM,0.929,2119978.0,0.7012004089,0.249004286047433,1116377
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5829,SDN,0.2285,1331926.0,0.8151765442,0.0086985068576302,1076310
Dem. People's Republic of Korea,P'yongyang,39.0339,125.7543,3084,PRK,0.794,2448696.0,0.4334545517,0.0,1061398
Myanmar,Yangon,16.8053,96.1561,5332,MMR,0.21,1119720.0,0.9303386688,0.000127508854952987,1041586
India,Bangalore,12.9719,77.5937,12327,IND,0.079,973833.0,1.0,0.0023652678315167997,971530
Thailand,Krung Thep (Bangkok),13.722,100.5252,10539,THA,0.092,969588.0,1.0,0.0,969588
Nigeria,Benin City,6.335,5.6275,1727,NGA,0.6679999999999999,1153636.0,0.8390000153,0.0351163685711153,933911
China,Chengdu,30.6667,104.0667,9136,CHN,0.10200000000000001,931872.0,1.0,0.0,931872
China,"Nanjing, Jiangsu",32.0482,118.7898,8847,CHN,0.10200000000000001,902394.0,1.0,0.0,902394
India,Chennai (Madras),13.0531,80.2488,10971,IND,0.079,866709.0,1.0,0.0023652678315167997,864659
China,Wuhan,30.5833,114.2667,8365,CHN,0.10200000000000001,853230.0,1.0,0.0,853230
China,"Xi'an, Shaanxi",34.2894,108.9402,8001,CHN,0.10200000000000001,816102.0,1.0,0.0,816102
Russian Federation,Moskva (Moscow),55.755,37.6218,12538,RUS,0.065,814970.0,1.0,0.0,814970
Mozambique,Matola,-25.9622,32.4589,1706,MOZ,0.8460000000000001,1443276.0,0.7496321869,0.2568505771373906,804033
India,Hyderabad,17.3753,78.4744,10004,IND,0.079,790316.0,1.0,0.0023652678315167997,788447
China,Hangzhou,30.2937,120.1614,7642,CHN,0.10200000000000001,779484.0,1.0,0.0,779484
Rwanda,Kigali,-1.9474,30.0579,1132,RWA,0.8859999999999999,1002952.0,0.8640000152999999,0.11266475106281672,768921
Nigeria,Onitsha,6.1454,6.7885,1415,NGA,0.6679999999999999,945220.0,0.8390000153,0.0351163685711153,765191
Viet Nam,Hà Noi,21.0245,105.8412,4678,VNM,0.162,757836.0,1.0,0.00043529444741465906,757506
China,Dongguan,23.0212,113.7414,7408,CHN,0.10200000000000001,755616.0,1.0,0.0,755616
China,Foshan,23.0228,113.12,7327,CHN,0.10200000000000001,747354.0,1.0,0.0,747354
China,Shenyang,41.7922,123.4328,7220,CHN,0.10200000000000001,736440.0,1.0,0.0,736440
China,"Suzhou, Jiangsu",31.3021,120.5853,7070,CHN,0.10200000000000001,721140.0,1.0,0.0,721140
Afghanistan,Kabul,34.5289,69.1725,4222,AFG,0.163,688186.0,0.995,0.0,684745
United Republic of Tanzania,Mwanza,-2.5167,32.9,1120,TZA,0.8730000000000001,977760.0,0.7290000153,0.052216437903432604,675568
Indonesia,Jakarta,-6.2118,106.8416,10770,IDN,0.06199999999999999,667740.0,0.9959999847000001,9.424091293893e-06,665063
Liberia,Monrovia,6.3005,-10.7969,1517,LBR,0.9794999999999999,1485902.0,0.4517257309,0.0264879434447947,653441
China,Haerbin,45.7563,126.6467,6387,CHN,0.10200000000000001,651474.0,1.0,0.0,651474
Congo,Brazzaville,-4.2658,15.2832,2388,COG,0.46,1098480.0,0.6600507355,0.10181618195927591,651230
Democratic Republic of the Congo,Mbuji-Mayi,-6.15,23.6,2525,COD,0.8975,2266188.0,0.40659931180000003,0.29347778250743006,651011
Democratic Republic of the Congo,Lubumbashi,-11.6609,27.4794,2478,COD,0.8975,2224005.0,0.40659931180000003,0.29347778250743006,638893
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,2935,GTM,0.226,663310.0,0.9745913695999999,0.0138138567930489,637526
India,Ahmadabad,23.0333,72.6167,8059,IND,0.079,636661.0,1.0,0.0023652678315167997,635155
Sierra Leone,Freetown,8.484,-13.2299,1202,SLE,0.9724999999999998,1168945.0,0.5469330978,0.0105596872867357,632584
Benin,Abomey-Calavi,6.4485,2.3557,1056,BEN,0.905,955680.0,0.6614538574,0.0108232315506268,625296
Nigeria,Uyo,5.0513,7.9335,1136,NGA,0.6679999999999999,758848.0,0.8390000153,0.0351163685711153,614316
Kenya,Mombasa,-4.0547,39.6636,1296,KEN,0.518,671328.0,0.9398622131000001,0.0400045675761333,605715
Nigeria,Kaduna,10.5222,7.4383,1113,NGA,0.6679999999999999,743484.0,0.8390000153,0.0351163685711153,601878
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,2078,KHM,0.29100000000000004,604698.0,0.9730000305000001,0.0,588371
Nigeria,Aba,5.1066,7.3667,1081,NGA,0.6679999999999999,722108.0,0.8390000153,0.0351163685711153,584573
China,Qingdao,36.0986,120.3719,5620,CHN,0.10200000000000001,573240.0,1.0,0.0,573240
China,Dalian,38.9138,121.6023,5618,CHN,0.10200000000000001,573036.0,1.0,0.0,573036
Nigeria,Nnewi,6.0199,6.9148,1051,NGA,0.6679999999999999,702068.0,0.8390000153,0.0351163685711153,568350
India,Surat,21.1667,72.8333,7185,IND,0.079,567615.0,1.0,0.0023652678315167997,566272
China,"Ji'nan, Shandong",36.6767,116.9971,5360,CHN,0.10200000000000001,546720.0,1.0,0.0,546720
Lao People's Democratic Republic,Vientiane,17.9667,102.6,683,LAO,0.799,545717.0,1.0,0.0015797012201648,544855
China,Zhengzhou,34.7578,113.6486,5323,CHN,0.10200000000000001,542946.0,1.0,0.0,542946
Ghana,Sekondi Takoradi,4.934,-1.7137,946,GHA,0.645,610170.0,0.9471047974,0.0677460757717531,538745
Mozambique,Maputo,-25.9653,32.5892,1110,MOZ,0.8460000000000001,939060.0,0.7496321869,0.2568505771373906,523140
India,Pune (Poona),18.5161,73.8616,6629,IND,0.079,523691.0,1.0,0.0023652678315167997,522452
Burundi,Bujumbura,-3.3822,29.3644,1013,BDI,0.978,990714.0,0.6367844009,0.175659773516824,520053
Philippines,Davao City,7.0739,125.6125,1825,PHL,0.29,529250.0,0.9823407745,0.000475071385882081,519657
Nigeria,Ilorin,8.5,4.55,950,NGA,0.6679999999999999,634600.0,0.8390000153,0.0351163685711153,513732
Nigeria,Ikorodu,6.6087,3.5108,938,NGA,0.6679999999999999,626584.0,0.8390000153,0.0351163685711153,507243
Niger,Niamey,13.5137,2.1098,1292,NER,0.855,1104660.0,0.4839099884,0.0640356225144508,500325
Eritrea,Asmara,15.3333,38.9333,963,ERI,0.6709999999999999,646173.0,0.7630296326,0.0,493049
Nepal,Kathmandu,27.7017,85.3206,1424,NPL,0.366,521184.0,0.9419999695,0.0028858440594064,489538
Nigeria,Jos,9.9167,8.9,895,NGA,0.6679999999999999,597860.0,0.8390000153,0.0351163685711153,483990
Somalia,Hargeysa,9.56,44.065,989,SOM,0.929,918781.0,0.7012004089,0.249004286047433,483829
Nigeria,Owerri,5.4833,7.0304,873,NGA,0.6679999999999999,583164.0,0.8390000153,0.0351163685711153,472093
Paraguay,Asunción,-25.3007,-57.6359,3337,PRY,0.141,470517.0,1.0,0.000752418930686196,470163
China,Changsha,28.2274,112.9383,4578,CHN,0.10200000000000001,466956.0,1.0,0.0,466956
Nigeria,Warri,5.5167,5.75,856,NGA,0.6679999999999999,571808.0,0.8390000153,0.0351163685711153,462900
Pakistan,Faisalabad,31.4167,73.0833,3462,PAK,0.131,453522.0,1.0,5.3788441201418994e-05,453498
China,Kunming,25.0389,102.7183,4443,CHN,0.10200000000000001,453186.0,1.0,0.0,453186
China,Changchun,43.8825,125.294,4426,CHN,0.10200000000000001,451452.0,1.0,0.0,451452
China,Ürümqi (Wulumqi),43.8253,87.6038,4369,CHN,0.10200000000000001,445638.0,1.0,0.0,445638
China,Shantou,23.3681,116.7148,4327,CHN,0.10200000000000001,441354.0,1.0,0.0,441354
China,Hefei,31.8639,117.2808,4242,CHN,0.10200000000000001,432684.0,1.0,0.0,432684
Malawi,Lilongwe,-13.9669,33.7873,1122,MWI,0.922,1034484.0,0.5398027039,0.2314534035488829,429170
Mexico,Guadalajara,20.6667,-103.3333,5179,MEX,0.08299999999999999,429857.0,0.9980000305,0.0054642808223601,426653
United Republic of Tanzania,Zanzibar,-6.1639,39.1979,705,TZA,0.8730000000000001,615465.0,0.7290000153,0.052216437903432604,425246
Nigeria,Maiduguri,11.8464,13.1603,786,NGA,0.6679999999999999,525048.0,0.8390000153,0.0351163685711153,425046
Honduras,Tegucigalpa,14.0818,-87.2068,1444,HND,0.3,433200.0,1.0,0.0277811024019527,421165
China,Ningbo,29.8782,121.5495,4116,CHN,0.10200000000000001,419832.0,1.0,0.0,419832
China,Shijiazhuang,38.0418,114.5108,4114,CHN,0.10200000000000001,419628.0,1.0,0.0,419628
Nigeria,Umuahia,5.5263,7.4896,774,NGA,0.6679999999999999,517032.0,0.8390000153,0.0351163685711153,418557
Nigeria,Enugu,6.4402,7.4943,773,NGA,0.6679999999999999,516364.0,0.8390000153,0.0351163685711153,418016
Mongolia,Ulaanbaatar,47.9077,106.8832,1584,MNG,0.263,416592.0,0.9969999695,0.0,415342
Benin,Cotonou,6.3654,2.4183,692,BEN,0.905,626260.0,0.6614538574,0.0108232315506268,409759
Mexico,Monterrey,25.6667,-100.3167,4874,MEX,0.08299999999999999,404542.0,0.9980000305,0.0054642808223601,401527
Mozambique,Nampula,-15.1165,39.2666,848,MOZ,0.8460000000000001,717408.0,0.7496321869,0.2568505771373906,399660
Chile,Santiago,-33.4569,-70.6483,6767,CHL,0.059000000000000004,399253.0,1.0,0.0041409459971694,397600
China,"Taiyuan, Shanxi",37.8619,112.5516,3891,CHN,0.10200000000000001,396882.0,1.0,0.0,396882
China,Nanning,22.8167,108.3167,3860,CHN,0.10200000000000001,393720.0,1.0,0.0,393720
Nigeria,Zaria,11.1113,7.7227,726,NGA,0.6679999999999999,484968.0,0.8390000153,0.0351163685711153,392600
Mauritania,Nouakchott,18.0858,-15.9785,1315,MRT,0.33949999999999997,446442.0,0.8837487793,0.0053699907328933,392424
Burkina Faso,Bobo-Dioulasso,11.1772,-4.2979,972,BFA,0.627,609444.0,0.6575390625,0.0219124802777808,391952
Bangladesh,Khulna,22.8098,89.5644,954,BGD,0.41700000000000004,397818.0,0.9780000305000001,0.0018262631037759,388355
Nigeria,Oshogbo,7.7667,4.5667,714,NGA,0.6679999999999999,476952.0,0.8390000153,0.0351163685711153,386110
Chad,N'Djaména,12.1067,15.0444,1423,TCD,0.686,976178.0,0.406244545,0.030951278866273003,384293
Peru,Lima,-12.0432,-77.0282,10719,PER,0.036,385884.0,1.0,0.0097904397707162,382106
China,Xiamen,24.4798,118.0819,3720,CHN,0.10200000000000001,379440.0,1.0,0.0,379440
China,"Fuzhou, Fujian",26.0754,119.2989,3686,CHN,0.10200000000000001,375972.0,1.0,0.0,375972
Democratic Republic of the Congo,Kananga,-5.8962,22.4166,1458,COD,0.8975,1308555.0,0.40659931180000003,0.29347778250743006,375910
Nigeria,Lokoja,7.8024,6.743,692,NGA,0.6679999999999999,462256.0,0.8390000153,0.0351163685711153,374214
China,"Changzhou, Jiangsu",31.7943,119.9589,3625,CHN,0.10200000000000001,369750.0,1.0,0.0,369750
China,Wenzhou,27.9994,120.6668,3624,CHN,0.10200000000000001,369648.0,1.0,0.0,369648
Bangladesh,Rajshahi,24.3667,88.6,908,BGD,0.41700000000000004,378636.0,0.9780000305000001,0.0018262631037759,369630
China,Nanchang,28.6833,115.8833,3598,CHN,0.10200000000000001,366996.0,1.0,0.0,366996
Ghana,Tamale,9.4008,-0.8393,642,GHA,0.645,414090.0,0.9471047974,0.0677460757717531,365618
Nigeria,Akure,7.2526,5.1931,666,NGA,0.6679999999999999,444888.0,0.8390000153,0.0351163685711153,360153
Malawi,Blantyre-Limbe,-15.785,35.0085,932,MWI,0.922,859304.0,0.5398027039,0.2314534035488829,356494
Russian Federation,Sankt Peterburg (Saint Petersburg),59.9299,30.3262,5468,RUS,0.065,355420.0,1.0,0.0,355420
Mali,Sikasso,11.3135,-5.6697,386,MLI,0.9690000000000001,374034.0,0.9408895874,0.002629282585109599,350999
China,"Tangshan, Hebei",39.6285,118.1799,3426,CHN,0.10200000000000001,349452.0,1.0,0.0,349452
Gambia,Banjul,13.4531,-16.6794,451,GMB,0.9655,435440.0,0.8063490295,0.0083549286187326,348183
Bangladesh,Sylhet,24.8967,91.8717,852,BGD,0.41700000000000004,355284.0,0.9780000305000001,0.0018262631037759,346833
Nigeria,Sokoto,13.0609,5.239,641,NGA,0.6679999999999999,428188.0,0.8390000153,0.0351163685711153,346634
United Republic of Tanzania,Mbeya,-8.9,33.45,566,TZA,0.8730000000000001,494118.0,0.7290000153,0.052216437903432604,341403
China,Guiyang,26.5833,106.7167,3317,CHN,0.10200000000000001,338334.0,1.0,0.0,338334
China,"Wuxi, Jiangsu",31.5367,120.2986,3256,CHN,0.10200000000000001,332112.0,1.0,0.0,332112
Congo,Pointe-Noire,-4.7761,11.8635,1214,COG,0.46,558440.0,0.6600507355,0.10181618195927591,331069
Ethiopia,Mekele,13.4967,39.4753,524,ETH,0.691,362084.0,0.932479248,0.0337404304922072,326244
Somalia,Merca,1.7159,44.7717,666,SOM,0.929,618714.0,0.7012004089,0.249004286047433,325814
Democratic Republic of the Congo,Kisangani,0.5167,25.2,1261,COD,0.8975,1131748.0,0.40659931180000003,0.29347778250743006,325119
Nigeria,Bauchi,10.3134,9.8433,598,NGA,0.6679999999999999,399464.0,0.8390000153,0.0351163685711153,323381
Guinea-Bissau,Bissau,11.8636,-15.5977,600,GNB,0.961,576600.0,0.5627449417,0.0062380577388823,322455
Bangladesh,Bogra,24.85,89.3667,775,BGD,0.41700000000000004,323175.0,0.9780000305000001,0.0018262631037759,315488
China,Lanzhou,36.0564,103.7922,3081,CHN,0.10200000000000001,314262.0,1.0,0.0,314262
Nigeria,Calabar,4.9517,8.322,579,NGA,0.6679999999999999,386772.0,0.8390000153,0.0351163685711153,313106
Nigeria,Abakaliki,6.3163,8.1169,572,NGA,0.6679999999999999,382096.0,0.8390000153,0.0351163685711153,309321
India,Jaipur,26.9167,75.8167,3909,IND,0.079,308811.0,1.0,0.0023652678315167997,308081
Djibouti,Djibouti,11.5877,43.1447,576,DJI,0.747,430272.0,0.7215770721,0.036171495721421795,299244
Nigeria,Ogbomosho,8.1324,4.2433,551,NGA,0.6679999999999999,368068.0,0.8390000153,0.0351163685711153,297965
United Republic of Tanzania,Arusha,-3.3667,36.6833,493,TZA,0.8730000000000001,430389.0,0.7290000153,0.052216437903432604,297370
China,Zhongshan,22.518,113.3839,2914,CHN,0.10200000000000001,297228.0,1.0,0.0,297228
Pakistan,Rawalpindi,33.6,73.0667,2237,PAK,0.131,293047.0,1.0,5.3788441201418994e-05,293031
Pakistan,Gujranwala,32.15,74.1833,2229,PAK,0.131,291999.0,1.0,5.3788441201418994e-05,291983
Zambia,Kitwe,-12.8167,28.2,686,ZMB,0.786,539196.0,0.8238262177,0.3433091355889871,291705
India,Lucknow,26.85,80.9167,3677,IND,0.079,290483.0,1.0,0.0023652678315167997,289796
Pakistan,Peshawar,34.002,71.5594,2203,PAK,0.131,288593.0,1.0,5.3788441201418994e-05,288577
Nigeria,Abeokuta,7.15,3.35,533,NGA,0.6679999999999999,356044.0,0.8390000153,0.0351163685711153,288231
Cameroon,Bamenda,5.9527,10.1582,533,CMR,0.601,320333.0,0.9402661133,0.0482372648765619,286669
Myanmar,Mandalay,21.9747,96.0836,1438,MMR,0.21,301980.0,0.9303386688,0.000127508854952987,280908
India,Kozhikode (Calicut),11.2567,75.7787,3555,IND,0.079,280845.0,1.0,0.0023652678315167997,280181
Philippines,Cebu City,10.3167,123.8907,980,PHL,0.29,284200.0,0.9823407745,0.000475071385882081,279049
China,Handan,36.6006,114.4678,2727,CHN,0.10200000000000001,278154.0,1.0,0.0,278154
Democratic Republic of the Congo,Bukavu,-2.5083,28.8608,1078,COD,0.8975,967505.0,0.40659931180000003,0.29347778250743006,277937
Nigeria,Gombe,10.2897,11.1673,509,NGA,0.6679999999999999,340012.0,0.8390000153,0.0351163685711153,275252
China,Huai'an,33.607,119.0148,2655,CHN,0.10200000000000001,270810.0,1.0,0.0,270810
China,Weifang,36.71,119.1019,2654,CHN,0.10200000000000001,270708.0,1.0,0.0,270708
China,Zibo,36.7906,118.0633,2640,CHN,0.10200000000000001,269280.0,1.0,0.0,269280
Spain,Valencia,39.4698,-0.3774,834,ESP,0.324,270216.0,1.0,0.0058107732501233,268646
Mozambique,Beira,-19.8436,34.8389,570,MOZ,0.8460000000000001,482220.0,0.7496321869,0.2568505771373906,268639
Cameroon,Loum,4.7182,9.7351,498,CMR,0.601,299298.0,0.9402661133,0.0482372648765619,267845
India,Malappuram,11.0667,76.0667,3391,IND,0.079,267889.0,1.0,0.0023652678315167997,267255
Pakistan,Multan,30.1833,71.4833,2015,PAK,0.131,263965.0,1.0,5.3788441201418994e-05,263951
Honduras,San Pedro Sula,15.5,-88.0333,903,HND,0.3,270900.0,1.0,0.0277811024019527,263374
Mexico,Puebla,19.0415,-98.205,3195,MEX,0.08299999999999999,265185.0,0.9980000305,0.0054642808223601,263208
Viet Nam,Can Tho,10.0333,105.7833,1618,VNM,0.162,262116.0,1.0,0.00043529444741465906,262002
Cameroon,Mbouda,5.6258,10.2552,486,CMR,0.601,292086.0,0.9402661133,0.0482372648765619,261391
Philippines,Zamboanga City,6.9103,122.075,917,PHL,0.29,265930.0,0.9823407745,0.000475071385882081,261110
Nigeria,Ado-Ekiti,7.621,5.2215,480,NGA,0.6679999999999999,320640.0,0.8390000153,0.0351163685711153,259570
China,Shaoxing,30.011,120.5715,2540,CHN,0.10200000000000001,259080.0,1.0,0.0,259080
China,Yantai,37.4651,121.4372,2527,CHN,0.10200000000000001,257754.0,1.0,0.0,257754
China,Huizhou,23.0833,114.4,2525,CHN,0.10200000000000001,257550.0,1.0,0.0,257550
Nigeria,Katsina,12.9894,7.6006,470,NGA,0.6679999999999999,313960.0,0.8390000153,0.0351163685711153,254162
Ethiopia,Dire Dawa,9.5931,41.8661,408,ETH,0.691,281928.0,0.932479248,0.0337404304922072,254022
Nigeria,Okene,7.5507,6.2337,465,NGA,0.6679999999999999,310620.0,0.8390000153,0.0351163685711153,251459
Philippines,Antipolo,14.6235,121.1245,881,PHL,0.29,255490.0,0.9823407745,0.000475071385882081,250859
United Republic of Tanzania,Morogoro,-6.8167,37.6667,409,TZA,0.8730000000000001,357057.0,0.7290000153,0.052216437903432604,246703
India,Kanpur,26.4667,80.35,3124,IND,0.079,246796.0,1.0,0.0023652678315167997,246212
Zimbabwe,Harare,-17.8294,31.0539,1530,ZWE,0.20199999999999999,309060.0,0.8571547699,0.0735905283060626,245417
Nigeria,Igbidu,6.0683,8.1169,453,NGA,0.6679999999999999,302604.0,0.8390000153,0.0351163685711153,244969
Somalia,Berbera,10.4396,45.0143,499,SOM,0.929,463571.0,0.7012004089,0.249004286047433,244116
China,Luoyang,34.6186,112.4562,2387,CHN,0.10200000000000001,243474.0,1.0,0.0,243474
India,Kochi (Cochin),9.9307,76.2601,3082,IND,0.079,243478.0,1.0,0.0023652678315167997,242902
Pakistan,Hyderabad,25.3667,68.3667,1850,PAK,0.131,242350.0,1.0,5.3788441201418994e-05,242337
Nigeria,Minna,9.6139,6.5569,448,NGA,0.6679999999999999,299264.0,0.8390000153,0.0351163685711153,242265
India,Thrissur,10.5167,76.2167,3068,IND,0.079,242372.0,1.0,0.0023652678315167997,241799
Bangladesh,Comilla,23.4578,91.2044,589,BGD,0.41700000000000004,245613.0,0.9780000305000001,0.0018262631037759,239771
Nigeria,Gboko,7.3268,9.0034,442,NGA,0.6679999999999999,295256.0,0.8390000153,0.0351163685711153,239021
Nigeria,Okpogho,6.4404,7.2844,440,NGA,0.6679999999999999,293920.0,0.8390000153,0.0351163685711153,237939
India,Indore,22.7179,75.8333,3017,IND,0.079,238343.0,1.0,0.0023652678315167997,237779
Democratic Republic of the Congo,Tshikapa,-6.4162,20.8,919,COD,0.8975,824802.0,0.40659931180000003,0.29347778250743006,236942
Spain,Zaragoza,41.6561,-0.8773,731,ESP,0.324,236844.0,1.0,0.0058107732501233,235468
Ethiopia,Nazret,8.5409,39.2716,378,ETH,0.691,261198.0,0.932479248,0.0337404304922072,235344
Nigeria,Ondo,7.1,4.8333,432,NGA,0.6679999999999999,288576.0,0.8390000153,0.0351163685711153,233613
China,Nantong,31.9904,120.8655,2276,CHN,0.10200000000000001,232152.0,1.0,0.0,232152
Nigeria,Oyo,7.85,3.9333,428,NGA,0.6679999999999999,285904.0,0.8390000153,0.0351163685711153,231450
Zambia,Ndola,-12.9587,28.6366,542,ZMB,0.786,426012.0,0.8238262177,0.3433091355889871,230472
Somalia,Kismaayo,-0.3667,42.5333,471,SOM,0.929,437559.0,0.7012004089,0.249004286047433,230418
Nigeria,Potiskum,11.7091,11.0694,426,NGA,0.6679999999999999,284568.0,0.8390000153,0.0351163685711153,230368
Cameroon,Bafoussam,5.4737,10.4179,424,CMR,0.601,254824.0,0.9402661133,0.0482372648765619,228045
Equatorial Guinea,Bata,1.8639,9.7658,415,GNQ,0.604,250660.0,0.9096696472000001,0.0,228018
India,Nagpur,21.15,79.1,2893,IND,0.079,228547.0,1.0,0.0023652678315167997,228006
Spain,Sevilla,37.3824,-5.9761,704,ESP,0.324,228096.0,1.0,0.0058107732501233,226771
Ethiopia,Gondar,12.6,37.4667,362,ETH,0.691,250142.0,0.932479248,0.0337404304922072,225382
China,Baotou,40.6522,109.8222,2190,CHN,0.10200000000000001,223380.0,1.0,0.0,223380
Nigeria,Gwagwalada,8.9414,7.0919,410,NGA,0.6679999999999999,273880.0,0.8390000153,0.0351163685711153,221716
Dem. People's Republic of Korea,Chongjin,41.7956,129.7758,642,PRK,0.794,509748.0,0.4334545517,0.0,220953
China,Liuzhou,24.3017,109.3784,2165,CHN,0.10200000000000001,220830.0,1.0,0.0,220830
China,Hohhot,40.8106,111.6522,2163,CHN,0.10200000000000001,220626.0,1.0,0.0,220626
Nigeria,Makurdi,7.7411,8.5121,407,NGA,0.6679999999999999,271876.0,0.8390000153,0.0351163685711153,220094
India,Coimbatore,10.9925,76.9614,2787,IND,0.079,220173.0,1.0,0.0023652678315167997,219652
China,Xuzhou,34.2637,117.1866,2146,CHN,0.10200000000000001,218892.0,1.0,0.0,218892
Philippines,Cagayan de Oro City,8.4822,124.6472,753,PHL,0.29,218370.0,0.9823407745,0.000475071385882081,214412
United Republic of Tanzania,Songea,-10.6833,35.65,353,TZA,0.8730000000000001,308169.0,0.7290000153,0.052216437903432604,212925
Philippines,Dasmarinas,14.299,120.959,747,PHL,0.29,216630.0,0.9823407745,0.000475071385882081,212703
Benin,Parakou,9.3372,2.6303,358,BEN,0.905,323990.0,0.6614538574,0.0108232315506268,211985
Viet Nam,Hai Phòng,20.8648,106.6835,1300,VNM,0.162,210600.0,1.0,0.00043529444741465906,210508
Indonesia,Bekasi,-6.2383,106.9756,3394,IDN,0.06199999999999999,210428.0,0.9959999847000001,9.424091293893e-06,209584
Central African Republic,Bangui,4.3612,18.555,889,CAF,0.9690000000000001,861441.0,0.33562919620000004,0.279502777596733,208314
Nigeria,Effon Alaiye,7.65,4.9167,384,NGA,0.6679999999999999,256512.0,0.8390000153,0.0351163685711153,207656
Nigeria,Ikot Ekpene,5.1794,7.7108,383,NGA,0.6679999999999999,255844.0,0.8390000153,0.0351163685711153,207115
India,Thiruvananthapuram,8.5069,76.9569,2585,IND,0.079,204215.0,1.0,0.0023652678315167997,203732
Nigeria,Saki,8.6667,3.3833,376,NGA,0.6679999999999999,251168.0,0.8390000153,0.0351163685711153,203330
China,Yangzhou,32.3915,119.4238,1993,CHN,0.10200000000000001,203286.0,1.0,0.0,203286
Mexico,Toluca de Lerdo,19.2839,-99.6573,2467,MEX,0.08299999999999999,204761.0,0.9980000305,0.0054642808223601,203235
Benin,Djougou,9.7085,1.666,343,BEN,0.905,310415.0,0.6614538574,0.0108232315506268,203103
Nigeria,Ife,7.4773,4.5589,374,NGA,0.6679999999999999,249832.0,0.8390000153,0.0351163685711153,202248
China,Baoding,38.8511,115.4903,1976,CHN,0.10200000000000001,201552.0,1.0,0.0,201552
South Africa,Johannesburg,-26.2023,28.0436,5783,ZAF,0.040999999999999995,237103.0,0.8880626678,0.0447956252095753,201130
Mozambique,Chimoio,-19.1164,33.4833,425,MOZ,0.8460000000000001,359550.0,0.7496321869,0.2568505771373906,200301
