Country or area,Urban Agglomeration,Latitude,Longitude,Population (in thousands),Country Code,proportion dirty fuel,estimated population burning dirty fuels,proportion electricity access,proportion below $1 per day,estimated addressable population
Malaysia,Kota Bharu,6.1333,102.25,348,MYS,0.003,1044.0,1.0,0.0,1044
Malaysia,Alor Star,6.1167,100.3667,342,MYS,0.003,1026.0,1.0,0.0,1026
Azerbaijan,Gäncä,40.6828,46.3606,341,AZE,0.003,1023.0,1.0,0.0,1023
Iraq,Kirkuk,35.4681,44.3922,1013,IRQ,0.001,1013.0,1.0,0.0,1013
Morocco,Marrakech,31.6315,-8.0083,1003,MAR,0.001,1003.0,1.0,0.000248039848087371,1003
Morocco,Agadir,30.4248,-9.5937,924,MAR,0.001,924.0,1.0,0.000248039848087371,924
Libya,Misratah,32.3754,15.0925,881,LBY,0.001,881.0,1.0,0.0,881
Iraq,Najaf,31.9973,44.3314,874,IRQ,0.001,874.0,1.0,0.0,874
Iraq,Irbil (Erbil),36.1926,44.0106,846,IRQ,0.001,846.0,1.0,0.0,846
Libya,Banghazi,32.1167,20.0667,824,LBY,0.001,824.0,1.0,0.0,824
United Arab Emirates,Ajman,25.4111,55.435,392,ARE,0.002,784.0,1.0,0.0,784
Iraq,Sulaimaniya,35.5617,45.4408,739,IRQ,0.001,739.0,1.0,0.0,739
Iraq,Amara,31.8344,47.1524,656,IRQ,0.001,656.0,1.0,0.0,656
Iraq,Nasiriyah,31.0333,46.2667,617,IRQ,0.001,617.0,1.0,0.0,617
Iraq,Hillah,32.4825,44.4314,604,IRQ,0.001,604.0,1.0,0.0,604
Morocco,Oujda,34.6805,-1.9076,559,MAR,0.001,559.0,1.0,0.000248039848087371,559
Iraq,Karbala,32.5983,44.0239,555,IRQ,0.001,555.0,1.0,0.0,555
Morocco,Meknès,33.8935,-5.5473,554,MAR,0.001,554.0,1.0,0.000248039848087371,554
Iraq,Diwaniyah,31.9905,44.9306,513,IRQ,0.001,513.0,1.0,0.0,513
Morocco,Kénitra,34.261,-6.5802,480,MAR,0.001,480.0,1.0,0.000248039848087371,480
Iraq,Kut,32.5,45.8333,471,IRQ,0.001,471.0,1.0,0.0,471
Iraq,Ramadi,33.4167,43.3,452,IRQ,0.001,452.0,1.0,0.0,452
Morocco,Tétouan,35.5711,-5.3724,421,MAR,0.001,421.0,1.0,0.000248039848087371,421
Iraq,Faloojah,33.3558,43.7861,347,IRQ,0.001,347.0,1.0,0.0,347
Iraq,Baaqoobah,33.75,44.6411,324,IRQ,0.001,324.0,1.0,0.0,324
Morocco,Safi,32.2994,-9.2372,324,MAR,0.001,324.0,1.0,0.000248039848087371,324
Iraq,Samarra,34.1966,43.8739,312,IRQ,0.001,312.0,1.0,0.0,312
